Season,SeasonEndYear,SalaryCap,PlayoffsAvailable
2021-22,2022,112414000,True
2022-23,2023,123655000,True
2023-24,2024,136021000,True
2024-25,2025,140588000,True
2025-26,2026,154647000,True
