PlayerKey,Season,PlayerName,SalaryTeam,StatsTeam,AvgShotDistance,FGA_2P_Frequency,FGA_0_3_Frequency,FGA_3_10_Frequency,FGA_10_16_Frequency,FGA_16_3P_Frequency,FGA_3P_Frequency,FG_2P_Pct,FG_0_3_Pct,FG_3_10_Pct,FG_10_16_Pct,FG_16_3P_Pct,FG_3P_Pct,Assisted2P_Pct,Assisted3P_Pct,Dunk_FGA_Pct,DunksMade,Corner3_Frequency,Corner3Pct,HalfCourtAttempts,HalfCourtMakes
P0264,2025-26,Jonathan Mogbo,TOR,TOR,3.6,0.977,0.545,0.364,0.068,0.0,0.023,0.605,0.625,0.563,0.667,,0.0,0.731,,0.182,4.0,1.0,0.0,0.0,0.0
P0265,2025-26,Jordan Clarkson,NYK,NYK,14.0,0.593,0.183,0.27,0.114,0.027,0.407,0.535,0.635,0.549,0.383,0.357,0.327,0.509,0.957,0.013,6.0,0.379,0.321,0.0,0.0
P0266,2025-26,Jordan Clarkson,UTA,NYK,14.0,0.593,0.183,0.27,0.114,0.027,0.407,0.535,0.635,0.549,0.383,0.357,0.327,0.509,0.957,0.013,6.0,0.379,0.321,0.0,0.0
P0267,2025-26,Jordan Goodwin,PHO,PHO,16.3,0.456,0.231,0.126,0.068,0.031,0.544,0.462,0.539,0.457,0.263,0.353,0.371,0.419,0.902,0.009,4.0,0.341,0.35,0.0,0.0
P0268,2025-26,Jordan Hawkins,NOP,NOP,18.9,0.475,0.105,0.066,0.109,0.195,0.525,0.385,0.63,0.176,0.357,0.34,0.348,0.596,0.894,0.031,3.0,0.193,0.5,0.0,0.0
P0269,2025-26,Jordan McLaughlin,SAS,SAS,15.2,0.494,0.241,0.152,0.089,0.013,0.506,0.41,0.632,0.167,0.286,0.0,0.425,0.313,0.882,0.0,0.0,0.425,0.412,0.0,0.0
P0270,2025-26,Jordan Miller,LAC,LAC,10.6,0.724,0.293,0.326,0.1,0.005,0.276,0.602,0.735,0.538,0.4,1.0,0.345,0.448,1.0,0.03,10.0,0.336,0.324,0.0,0.0
P0271,2025-26,Jordan Poole,NOP,NOP,19.2,0.351,0.153,0.133,0.038,0.027,0.649,0.442,0.544,0.407,0.294,0.25,0.333,0.42,0.688,0.002,1.0,0.101,0.448,0.0,0.0
P0272,2025-26,Jordan Walsh,BOS,BOS,13.3,0.532,0.337,0.172,0.022,0.0,0.468,0.62,0.789,0.348,0.167,,0.384,0.602,1.0,0.15,33.0,0.36,0.378,0.0,0.0
P0273,2025-26,Jose Alvarado,NYK,2TM,18.1,0.361,0.131,0.156,0.06,0.013,0.639,0.531,0.695,0.471,0.37,0.333,0.352,0.535,0.752,0.0,0.0,0.265,0.368,0.0,0.0
