Season,SeasonEndYear,PlayerKeyRaw,PlayerName,PlayoffTeam,Pos,PlayoffGames,PlayoffGamesStarted,PlayoffMinutes,PlayoffPoints,PlayoffRebounds,PlayoffAssists,PlayoffSteals,PlayoffBlocks,PlayoffTurnovers,PlayoffTS_Pct,PlayoffProductionScore,PlayoffEstimatedWinShares,PlayerKey,PlayerSeasonKey,PlayerKey_Fact,PlayerSeasonKey_Fact,Salary,SalaryMillions,ContractTier,PlayerValueTier,PlayoffValueScore,CostPerPlayoffPoint,CostPerPlayoffEstimatedWinShare
2021-22,2022,pat connaughton,Pat Connaughton,MIL,G,12,,318.0,114.0,51.599999999999994,10.8,4.800000000000001,3.5999999999999996,7.199999999999999,0.635366506153023,210.12000000000003,0.7004000000000001,P00770,P00770-2022,P00770,P00770-2022,5333334.0,5.333334,Low-Cost Rotation Contract,Market Neutral,39.397495075313124,46783.63157894737,7614697.31581953
2021-22,2022,gary payton ii,Gary Payton II,GSW,G,12,,202.79999999999998,78.0,37.2,15.600000000000001,14.399999999999999,7.199999999999999,6.0,0.7454128440366972,204.83999999999997,0.6828,P00317,P00317-2022,P00317,P00317-2022,1669178.0,1.669178,Minimum / Two-Way / Replacement,Efficient Role Player,122.71908687988936,21399.71794871795,2444607.4985354426
2021-22,2022,danny green,Danny Green,PHI,F,12,,319.20000000000005,103.19999999999999,37.2,9.600000000000001,12.0,3.5999999999999996,13.200000000000001,0.5776464266523372,195.84,0.6528,P00201,P00201-2022,P00201,P00201-2022,10000000.0,10.0,Mid-Tier Rotation Contract,Market Neutral,19.584,96899.22480620156,15318627.450980391
2021-22,2022,demar derozan,DeMar DeRozan,CHI,G,5,,203.0,104.0,27.0,24.0,9.0,2.0,11.0,0.4805914972273567,194.4,0.648,P00225,P00225-2022,P00225,P00225-2022,26000000.0,26.0,High-Salary Starter,Expensive but Worth It,7.476923076923077,250000.0,40123456.790123455
2021-22,2022,grayson allen,Grayson Allen,MIL,G,12,,304.79999999999995,99.60000000000001,34.8,15.600000000000001,8.399999999999999,3.5999999999999996,9.600000000000001,0.576709282934964,191.16000000000003,0.6372000000000001,P00331,P00331-2022,P00331,P00331-2022,4054695.0,4.054695,Low-Cost Rotation Contract,Market Neutral,47.1453463207467,40709.7891566265,6363300.376647834
2021-22,2022,rudy gobert,Rudy Gobert,UTA,C,6,,196.79999999999998,72.0,79.19999999999999,3.0,1.2000000000000002,6.0,7.800000000000001,0.6887052341597797,185.33999999999995,0.6177999999999998,P00826,P00826-2022,P00826,P00826-2022,35344828.0,35.344828,Max / Supermax-Level,Expensive but Worth It,5.243765792268106,490900.3888888889,57210793.13693754
2021-22,2022,daniel theis,Daniel Theis,BOS,C,16,,200.0,68.8,52.8,11.2,4.8,8.0,11.2,0.6286549707602338,176.16,0.5871999999999999,P00198,P00198-2022,P00198,P00198-2022,8280351.0,8.280351,Low-Cost Rotation Contract,Market Neutral,21.2744604667121,120353.93895348838,14101415.190735696
2021-22,2022,wesley matthews,Wesley Matthews,MIL,SG,12,,345.6,74.4,37.2,14.399999999999999,9.600000000000001,3.5999999999999996,6.0,0.548478414720453,174.24000000000004,0.5808000000000001,P00972,P00972-2022,P00972,P00972-2022,1237494.0,1.237494,Minimum / Two-Way / Replacement,Market Neutral,140.8006826699766,16632.983870967742,2130671.4876033054
2021-22,2022,kyrie irving,Kyrie Irving,BRK,G,4,,170.0,85.2,21.2,21.2,7.2,5.2,9.2,0.587359364659166,170.44,0.5681333333333334,P00605,P00605-2022,P00605,P00605-2022,35328700.0,35.3287,Max / Supermax-Level,High-Cost Low-Return,4.824406219306117,414656.10328638495,62183818.35249941
2021-22,2022,og anunoby,OG Anunoby,TOR,F,6,,217.20000000000002,103.80000000000001,24.0,15.0,6.0,1.2000000000000002,10.2,0.5810048361096186,166.50000000000003,0.555,P00748,P00748-2022,P00748,P00748-2022,16071429.0,16.071429,Mid-Tier Rotation Contract,High-Cost Low-Return,10.359999723733344,154830.72254335257,28957529.729729727
