Season,SeasonEndYear,TeamRaw,EspnTeamKey,TeamKey,TeamName,W,L,WinPct,GB,HOME,AWAY,DIV,CONF,PointsPerGame,OpponentPointsPerGame,NetPointDiff,STRK,L10,Conference,Division,AdjustedNetRtg,AdjustedORtg,AdjustedDRtg,Pace,Team3P_Frequency,TeamRimFrequency
2021-22,2022,* --PHXPhoenix Suns,PHX,PHO,Phoenix Suns,64,18,0.78,-,32-9,32-9,10-6,39-13,114.8,107.4,7.4,L1,6-4,West,Pacific,7.4,114.8,107.4,,,
2021-22,2022,y --MEMMemphis Grizzlies,MEM,MEM,Memphis Grizzlies,56,26,0.683,8,30-11,26-15,11-5,36-16,115.6,109.9,5.7,L1,7-3,West,Southwest,5.7,115.6,109.9,,,
2021-22,2022,z --MIAMiami Heat,MIA,MIA,Miami Heat,53,29,0.646,11,29-12,24-17,13-3,35-17,110.0,105.6,4.4,L1,6-4,East,Southeast,4.4,110.0,105.6,,,
2021-22,2022,x --GSGolden State Warriors,GS,GSW,Golden State Warriors,53,29,0.646,11,31-10,22-19,12-4,33-19,111.0,105.5,5.5,W5,6-4,West,Pacific,5.5,111.0,105.5,,,
2021-22,2022,x --DALDallas Mavericks,DAL,DAL,Dallas Mavericks,52,30,0.634,12,29-12,23-18,14-2,36-16,108.0,104.7,3.3,W4,8-2,West,Southwest,3.3,108.0,104.7,,,
2021-22,2022,y --BOSBoston Celtics,BOS,BOS,Boston Celtics,51,31,0.622,13,28-13,23-18,9-7,33-19,111.8,104.5,7.3,W1,7-3,East,Atlantic,7.3,111.8,104.5,,,
2021-22,2022,y --MILMilwaukee Bucks,MIL,MIL,Milwaukee Bucks,51,31,0.622,13,27-14,24-17,12-4,33-19,115.5,112.1,3.4,L1,6-4,East,Central,3.4,115.5,112.1,,,
2021-22,2022,x --PHIPhiladelphia 76ers,PHI,PHI,Philadelphia 76ers,51,31,0.622,13,24-17,27-14,6-10,32-20,109.9,107.3,2.6,W2,6-4,East,Atlantic,2.6,109.9,107.3,,,
2021-22,2022,y --UTAHUtah Jazz,UTAH,UTA,Utah Jazz,49,33,0.598,15,29-12,20-21,15-1,33-19,113.6,107.6,6.0,W1,4-6,West,Northwest,6.0,113.6,107.6,,,
2021-22,2022,x --TORToronto Raptors,TOR,TOR,Toronto Raptors,48,34,0.585,16,24-17,24-17,10-6,30-22,109.4,107.1,2.3,L1,8-2,East,Atlantic,2.3,109.4,107.1,,,
2021-22,2022,x --DENDenver Nuggets,DEN,DEN,Denver Nuggets,48,34,0.585,16,23-18,25-16,6-10,29-23,112.7,110.4,2.3,L1,6-4,West,Northwest,2.3,112.7,110.4,,,
2021-22,2022,xp --MINMinnesota Timberwolves,MIN,MIN,Minnesota Timberwolves,46,36,0.561,18,26-15,20-21,12-4,32-20,116.0,113.3,2.7,L1,4-6,West,Northwest,2.7,116.0,113.3,,,
2021-22,2022,x --CHIChicago Bulls,CHI,CHI,Chicago Bulls,46,36,0.561,18,27-14,19-22,10-6,29-23,111.6,112.0,-0.4,W1,4-6,East,Central,-0.4,111.6,112.0,,,
2021-22,2022,xp --BKNBrooklyn Nets,BKN,BRK,Brooklyn Nets,44,38,0.537,20,20-21,24-17,10-6,31-21,112.9,112.1,0.8,W4,6-4,East,Atlantic,0.8,112.9,112.1,,,
2021-22,2022,pb --CLECleveland Cavaliers,CLE,CLE,Cleveland Cavaliers,44,38,0.537,20,25-16,19-22,10-6,27-25,107.8,105.7,2.1,W1,3-7,East,Central,2.1,107.8,105.7,,,
2021-22,2022,xp --ATLAtlanta Hawks,ATL,ATL,Atlanta Hawks,43,39,0.524,21,27-14,16-25,9-7,26-26,113.9,112.4,1.5,W1,7-3,East,Southeast,1.5,113.9,112.4,,,
